clave_conceptual,termino_preferido_provisional,variante,tipo_relacion,canonizada_como_alias
health policy,Health Policy,health:policy,VARIANTE_LEXICA_PROVISIONAL,NO
health startup,health:startup,Health ≠ Startup,VARIANTE_LEXICA_PROVISIONAL,NO
healthy,HEALTHY,Healthy,VARIANTE_LEXICA_PROVISIONAL,NO
hot path,Hot Path,Hot Paths,VARIANTE_LEXICA_PROVISIONAL,NO
id,ID,id,VARIANTE_LEXICA_PROVISIONAL,NO
identifier,Identifier,Identifiers,VARIANTE_LEXICA_PROVISIONAL,NO
identity account,Identity ≠ Account,Identity = Account,VARIANTE_LEXICA_PROVISIONAL,NO
implementacion interna,Implementación interna,Implementación Interna,VARIANTE_LEXICA_PROVISIONAL,NO
implementation,implementations,Implementation,VARIANTE_LEXICA_PROVISIONAL,NO
incompatible,Incompatible,INCOMPATIBLE,VARIANTE_LEXICA_PROVISIONAL,NO
indeterminate allow,Indeterminate ≠ Allow,Indeterminate = Allow,VARIANTE_LEXICA_PROVISIONAL,NO
input,Input,Inputs,VARIANTE_LEXICA_PROVISIONAL,NO
integracion,Integraciones,Integración,VARIANTE_LEXICA_PROVISIONAL,NO
integration test,Integration Test,Integration Tests,VARIANTE_LEXICA_PROVISIONAL,NO
integrity constraint,Integrity Constraint,integrity:constraints,VARIANTE_LEXICA_PROVISIONAL,NO
integrity requirement,Integrity Requirement,integrity:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
integrity test,Integrity Test,Integrity Tests,VARIANTE_LEXICA_PROVISIONAL,NO
integrity validation,Integrity Validation,Integrity ≠ Validation,VARIANTE_LEXICA_PROVISIONAL,NO
internal,INTERNAL,Internal,VARIANTE_LEXICA_PROVISIONAL,NO
internal event,Internal Event,Internal Events,VARIANTE_LEXICA_PROVISIONAL,NO
interoperability integration,Interoperability Integration,Interoperability ≠ Integration,VARIANTE_LEXICA_PROVISIONAL,NO
invariant,Invariant,Invariants,VARIANTE_LEXICA_PROVISIONAL,NO
invariant arquitectonico,Invariantes Arquitectónicos,Invariantes arquitectónicos,VARIANTE_LEXICA_PROVISIONAL,NO
isolation level,Isolation Level,Isolation Levels,VARIANTE_LEXICA_PROVISIONAL,NO
json field,JSON Fields,JSON fields,VARIANTE_LEXICA_PROVISIONAL,NO
kill switch,Kill Switch,Kill Switches,VARIANTE_LEXICA_PROVISIONAL,NO
last registration wins,Last Registration Wins,last registration wins,VARIANTE_LEXICA_PROVISIONAL,NO
latest,latest,Latest,VARIANTE_LEXICA_PROVISIONAL,NO
latest dependency,latest Dependency,Latest Dependency,VARIANTE_LEXICA_PROVISIONAL,NO
license,License,LICENSE,VARIANTE_LEXICA_PROVISIONAL,NO
lifecycle event,Lifecycle Event,Lifecycle Events,VARIANTE_LEXICA_PROVISIONAL,NO
lifecycle hook,Lifecycle Hooks,Lifecycle Hook,VARIANTE_LEXICA_PROVISIONAL,NO
lifecycle test,Lifecycle Test,Lifecycle Tests,VARIANTE_LEXICA_PROVISIONAL,NO
long-lived connection,Long-Lived Connection,Long-Lived Connections,VARIANTE_LEXICA_PROVISIONAL,NO
many,Many,many,VARIANTE_LEXICA_PROVISIONAL,NO
mapper,Mapper,Mappers,VARIANTE_LEXICA_PROVISIONAL,NO
mef,MEF,mef,VARIANTE_LEXICA_PROVISIONAL,NO
message,Message,message,VARIANTE_LEXICA_PROVISIONAL,NO
message contract,Message Contract,Message Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
metadata,Metadata,metadata,VARIANTE_LEXICA_PROVISIONAL,NO
metadata annotation,Metadata Annotation,Metadata ≠ Annotation,VARIANTE_LEXICA_PROVISIONAL,NO
metadata provenance,Metadata Provenance,metadata:provenance,VARIANTE_LEXICA_PROVISIONAL,NO
metadata query,Metadata Query,metadata:query,VARIANTE_LEXICA_PROVISIONAL,NO
metadata registry,Metadata Registry,Metadata ≠ Registry,VARIANTE_LEXICA_PROVISIONAL,NO
metadata schema,Metadata Schema,metadata:schema,VARIANTE_LEXICA_PROVISIONAL,NO
mfa,MFA,mfa,VARIANTE_LEXICA_PROVISIONAL,NO
migration,Migration,Migrations,VARIANTE_LEXICA_PROVISIONAL,NO
migration backup,Migration Backup,Migration ≠ Backup,VARIANTE_LEXICA_PROVISIONAL,NO
migration compatibility,Migration Compatibility,Migration ≠ Compatibility,VARIANTE_LEXICA_PROVISIONAL,NO
migration history,Migration History,migration:history,VARIANTE_LEXICA_PROVISIONAL,NO
migration lock,Migration Lock,migration:lock,VARIANTE_LEXICA_PROVISIONAL,NO
migration plan,Migration Plan,migration plan,VARIANTE_LEXICA_PROVISIONAL,NO
migration plan,Migration Plan,migration:plan,VARIANTE_LEXICA_PROVISIONAL,NO
migration requirement,Migration Requirement,Migration Requirements,VARIANTE_LEXICA_PROVISIONAL,NO
migration rollback,Migration Rollback,migration:rollback,VARIANTE_LEXICA_PROVISIONAL,NO
migration status,migration status,Migration Status,VARIANTE_LEXICA_PROVISIONAL,NO
migration status,migration status,migration:status,VARIANTE_LEXICA_PROVISIONAL,NO
modelo conceptual,Modelos Conceptuales,Modelo Conceptual,VARIANTE_LEXICA_PROVISIONAL,NO
modul,Modules,/modules,VARIANTE_LEXICA_PROVISIONAL,NO
module capability,Module Capabilities,module capabilities,VARIANTE_LEXICA_PROVISIONAL,NO
module contract,Module Contract,module contracts,VARIANTE_LEXICA_PROVISIONAL,NO
module graph,Module Graph,module graph,VARIANTE_LEXICA_PROVISIONAL,NO
module name,Module Name,Module Names,VARIANTE_LEXICA_PROVISIONAL,NO
module permission,Module Permission,Module Permissions,VARIANTE_LEXICA_PROVISIONAL,NO
n+1 query,N+1 Queries,N+1 Query,VARIANTE_LEXICA_PROVISIONAL,NO
narrow contract,Narrow Contract,Narrow Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
nested transaction,Nested Transaction,Nested Transactions,VARIANTE_LEXICA_PROVISIONAL,NO
nightly,Nightly,nightly,VARIANTE_LEXICA_PROVISIONAL,NO
no responsabilidad,No responsabilidades,No Responsabilidades,VARIANTE_LEXICA_PROVISIONAL,NO
none,none,NONE,VARIANTE_LEXICA_PROVISIONAL,NO
normalizer,Normalizer,Normalizers,VARIANTE_LEXICA_PROVISIONAL,NO
not applicable,NOT APPLICABLE,Not Applicable,VARIANTE_LEXICA_PROVISIONAL,NO
obligation,Obligation,Obligations,VARIANTE_LEXICA_PROVISIONAL,NO
optional capability,Optional Capability,Optional Capabilities,VARIANTE_LEXICA_PROVISIONAL,NO
optional component,Optional Component,Optional Components,VARIANTE_LEXICA_PROVISIONAL,NO
optional dependency,Optional Dependency,Optional Dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
outlier,Outlier,Outliers,VARIANTE_LEXICA_PROVISIONAL,NO
output,output,Outputs,VARIANTE_LEXICA_PROVISIONAL,NO
owner responsibility,Owner Responsibility,Owner Responsibilities,VARIANTE_LEXICA_PROVISIONAL,NO
partial success,Partial Success,Partial ≠ Success,VARIANTE_LEXICA_PROVISIONAL,NO
path,Path,Paths,VARIANTE_LEXICA_PROVISIONAL,NO
pause,Pause,PAUSE,VARIANTE_LEXICA_PROVISIONAL,NO
payload,Payload,payload,VARIANTE_LEXICA_PROVISIONAL,NO
performance baseline,Performance Baseline,performance:baseline,VARIANTE_LEXICA_PROVISIONAL,NO
performance benchmark,performance:benchmark,Performance ≠ Benchmark,VARIANTE_LEXICA_PROVISIONAL,NO
performance budget,Performance Budget,performance:budget,VARIANTE_LEXICA_PROVISIONAL,NO
performance optimization,Performance Optimization,Performance ≠ Optimization,VARIANTE_LEXICA_PROVISIONAL,NO
performance profile,performance profile,Performance Profile,VARIANTE_LEXICA_PROVISIONAL,NO
performance profile,performance profile,performance:profile,VARIANTE_LEXICA_PROVISIONAL,NO
performance status,performance status,Performance Status,VARIANTE_LEXICA_PROVISIONAL,NO
performance test,Performance Test,Performance Tests,VARIANTE_LEXICA_PROVISIONAL,NO
permission,Permission,Permissions,VARIANTE_LEXICA_PROVISIONAL,NO
pipeline run,Pipeline Run,pipeline:run,VARIANTE_LEXICA_PROVISIONAL,NO
plugin dependency,Plugin Dependency,plugin:dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
plugin permission,Plugin Permission,plugin:permissions,VARIANTE_LEXICA_PROVISIONAL,NO
plugin quarantine,Plugin Quarantine,plugin:quarantine,VARIANTE_LEXICA_PROVISIONAL,NO
plugin upgrade,Plugin Upgrade,plugin:upgrade,VARIANTE_LEXICA_PROVISIONAL,NO
policy,Policy,Policies,VARIANTE_LEXICA_PROVISIONAL,NO
policy authorization,Policy ≠ Authorization,Policy = Authorization,VARIANTE_LEXICA_PROVISIONAL,NO
policy business logic,Policy ≠ Business Logic,Policy = Business Logic,VARIANTE_LEXICA_PROVISIONAL,NO
policy configuration,Policy Configuration,Policy ≠ Configuration,VARIANTE_LEXICA_PROVISIONAL,NO
policy drift,Policy Drift,policy:drift,VARIANTE_LEXICA_PROVISIONAL,NO
prepare,Prepare,prepare,VARIANTE_LEXICA_PROVISIONAL,NO
preservation replication,Preservation Replication,Preservation ≠ Replication,VARIANTE_LEXICA_PROVISIONAL,NO
preview,Preview,preview,VARIANTE_LEXICA_PROVISIONAL,NO
primitive type,Primitive Type,Primitive Types,VARIANTE_LEXICA_PROVISIONAL,NO
privacy consent,privacy:consents,Privacy ≠ Consent,VARIANTE_LEXICA_PROVISIONAL,NO
privacy retention,Privacy Retention,privacy:retention,VARIANTE_LEXICA_PROVISIONAL,NO
privacy security,Privacy Security,Privacy ≠ Security,VARIANTE_LEXICA_PROVISIONAL,NO
producer,producer,Producer,VARIANTE_LEXICA_PROVISIONAL,NO
protected binding,Protected Binding,Protected Bindings,VARIANTE_LEXICA_PROVISIONAL,NO
provider,Provider,/Providers,VARIANTE_LEXICA_PROVISIONAL,NO
provider,Provider,Providers,VARIANTE_LEXICA_PROVISIONAL,NO
provider,Provider,providers,VARIANTE_LEXICA_PROVISIONAL,NO
public,Public,PUBLIC,VARIANTE_LEXICA_PROVISIONAL,NO
public event,Public Event,Public Events,VARIANTE_LEXICA_PROVISIONAL,NO
publish,Publish,publish,VARIANTE_LEXICA_PROVISIONAL,NO
quality drift,Quality Drift,quality:drift,VARIANTE_LEXICA_PROVISIONAL,NO
quality gate,Quality Gate,Quality Gates,VARIANTE_LEXICA_PROVISIONAL,NO
quality gate,Quality Gate,quality:gate,VARIANTE_LEXICA_PROVISIONAL,NO
quality requirement,Quality Requirement,quality:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
quality rule,Quality Rule,quality:rules,VARIANTE_LEXICA_PROVISIONAL,NO
quality score,Quality Score,quality:score,VARIANTE_LEXICA_PROVISIONAL,NO
query,Queries,Query,VARIANTE_LEXICA_PROVISIONAL,NO
query contract,Query Contract,Query Contracts,VARIANTE_LEXICA_PROVISIONAL,NO
queue,Queue,QUEUE,VARIANTE_LEXICA_PROVISIONAL,NO
queue bound,Queue Bound,Queue Bounds,VARIANTE_LEXICA_PROVISIONAL,NO
queue limit,Queue Limit,Queue Limits,VARIANTE_LEXICA_PROVISIONAL,NO
quota,Quota,Quotas,VARIANTE_LEXICA_PROVISIONAL,NO
race condition,Race Condition,Race Conditions,VARIANTE_LEXICA_PROVISIONAL,NO
rate limit,Rate Limit,Rate Limits,VARIANTE_LEXICA_PROVISIONAL,NO
read model,Read Model,Read Models,VARIANTE_LEXICA_PROVISIONAL,NO
rebalancing,Rebalancing,REBALANCING,VARIANTE_LEXICA_PROVISIONAL,NO
