clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
frozen install,Frozen Install,Frozen Install,1,1,ENG,1,ENG-013,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frozen registry,Frozen Registry,Frozen Registry,1,3,ENG,2,ENG-020;ENG-027,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
frozen subscription graph,Frozen Subscription Graph,Frozen Subscription Graph,1,1,ENG,1,ENG-022,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fsync,Fsync,Fsync,1,1,ENG,1,ENG-077,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fsync universal guarantee,Fsync ≠ Universal Guarantee,Fsync ≠ Universal Guarantee,1,1,ENG,1,ENG-077,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuent de no determinismo,Fuentes de No Determinismo,Fuentes de No Determinismo,1,1,ENG,1,ENG-009,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuent inicial,Fuentes Iniciales,Fuentes Iniciales,1,1,ENG,1,ENG-011,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuente de verdad,Fuente de Verdad,Fuente de Verdad,1,1,ENG,1,ENG-003,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuente terminologica,Fuente Terminológica,Fuente Terminológica,1,1,ENG,1,ENG-005,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuera de alcance,Fuera de Alcance,Fuera de Alcance,1,2,ENG,2,ENG-001;ENG-004,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fulfilled,FULFILLED,FULFILLED,1,1,ENG,1,ENG-047,CODIGO_INLINE,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fulfillment,Fulfillment,Fulfillment,1,1,ENG,1,ENG-047,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full backup,Full Backup,Full Backup,1,1,ENG,1,ENG-076,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full cache flush,Full Cache Flush,Full Cache Flush,1,1,ENG,1,ENG-037,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full chain,Full Chain,Full Chain,1,1,ENG,1,ENG-018,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
