clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
domain model,Domain Model,Domain Model,1,5,ENG,3,ENG-030;ENG-034;ENG-035,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
downcasting,Downcasting,Downcasting,1,3,ENG,3,ENG-022;ENG-031;ENG-041,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
draft,Draft,Draft,1,6,ENG,3,ENG-017;ENG-021;ENG-049,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
drain,Drain,Drain,1,5,ENG,5,ENG-038;ENG-039;ENG-055;ENG-064;ENG-077,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
drift detection,Drift Detection,Drift Detection,1,5,ENG,5,ENG-008;ENG-013;ENG-049;ENG-068;ENG-079,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
drift exampl,Drift Examples,Drift Examples,1,5,ENG,5,ENG-068;ENG-081;ENG-083;ENG-084;ENG-085,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
drift test,Drift Test,Drift Test,1,3,ENG,3,ENG-049;ENG-068;ENG-084,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
dry run,Dry Run,Dry Run,1,7,ENG,7,ENG-007;ENG-008;ENG-013;ENG-014;ENG-047;ENG-063;ENG-065,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
dto,DTO,DTO,1,3,ENG,2,ENG-005;ENG-034,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
dual write,Dual Write,Dual Write,1,5,ENG,5,ENG-031;ENG-041;ENG-042;ENG-065;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
duplicacion transversal,Duplicación transversal,Duplicación transversal,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
duplicate registration,Duplicate Registration,Duplicate Registration,1,3,ENG,3,ENG-020;ENG-062;ENG-063,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
duplicate test,Duplicate Test,Duplicate Test,1,3,ENG,3,ENG-061;ENG-064;ENG-079,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
durability,Durability,Durability,1,8,ENG,3,ENG-042;ENG-077;ENG-093,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,5,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
durability engineering,Durability Engineering,Durability Engineering,1,3,ENG,1,ENG-077,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
duration,Duration,Duration,1,4,ENG,4,ENG-011;ENG-031;ENG-035;ENG-049,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
dynamic configuration,Dynamic Configuration,Dynamic Configuration,1,3,ENG,2,ENG-011;ENG-049,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eager validation,Eager Validation,Eager Validation,1,3,ENG,3,ENG-019;ENG-022;ENG-029,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
ecosistema,Ecosistema,Ecosistema,1,1,FND,1,FND-001,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ecosistema documental,Ecosistema documental,Ecosistema documental,1,1,FND,1,FND-000,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
effective configuration,Effective Configuration,Effective Configuration,1,3,ENG,3,ENG-010;ENG-011;ENG-049,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
efficiency,Efficiency,Efficiency,1,2,ENG,1,ENG-026,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
el contract,El Contract,El Contract,1,2,ENG,2,ENG-029;ENG-031,DEFINICION_EXPLICITA,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
el manifest,El Manifest,El Manifest,1,5,ENG,3,ENG-002;ENG-003;ENG-020,DEFINICION_EXPLICITA,5,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
el objetivo,El objetivo,El objetivo,1,5,ENG,5,ENG-014;ENG-015;ENG-016;ENG-017;ENG-018,DEFINICION_EXPLICITA,5,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
el package,El Package,El Package,1,2,ARQ,1,ARQ-017,DEFINICION_EXPLICITA,2,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
el packaging,El Packaging,El Packaging,1,1,ARQ,1,ARQ-017,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
el paquete,El paquete,El paquete,1,1,ARQ,1,ARQ-017,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
el registry,El Registry,El Registry,1,2,ENG,1,ENG-020,DEFINICION_EXPLICITA,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
el template engine,El Template Engine,El Template Engine,1,2,ARQ,1,ARQ-010,DEFINICION_EXPLICITA,2,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
encryption,Encryption,Encryption,1,5,ENG,5,ENG-030;ENG-031;ENG-037;ENG-061;ENG-064,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
encryption at rest,Encryption at Rest,Encryption at Rest,1,3,ENG,3,ENG-024;ENG-041;ENG-077,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
endpoint,Endpoint,Endpoint,1,5,ENG,3,ENG-032;ENG-044;ENG-068,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-001,ENG-001,ENG-001,1,3,ENG,3,ENG-000;ENG-001;ENG-006,DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-002,ENG-002,ENG-002,1,5,ENG,2,ENG-000;ENG-002,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-003,ENG-003,ENG-003,1,3,ENG,3,ENG-000;ENG-003;ENG-028,DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-003 - manifest,ENG-003 — Manifest,ENG-003 — Manifest,1,3,ENG,2,ENG-002;ENG-003,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-005 - nomenclatura,ENG-005 — Nomenclatura,ENG-005 — Nomenclatura,1,4,ENG,3,ENG-001;ENG-004;ENG-005,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-006 - estructura de directorio,ENG-006 — Estructura de Directorios,ENG-006 — Estructura de Directorios,1,4,ENG,4,ENG-001;ENG-002;ENG-004;ENG-006,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-007 - cli,ENG-007 — CLI,ENG-007 — CLI,1,3,ENG,3,ENG-003;ENG-005;ENG-007,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-009 - testing,ENG-009 — Testing,ENG-009 — Testing,1,5,ENG,5,ENG-000;ENG-001;ENG-002;ENG-004;ENG-009,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-010,ENG-010,ENG-010,1,3,ENG,3,ENG-000;ENG-010;ENG-025,DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
